artist,title,channel,timestamp,unused1,unused2
Sean Grant,Good Looking People,96 : KevinHart Laugh Out Loud,2025-07-31 04:31:40,-,-
Sean Grant,Boxing Class,96 : KevinHart Laugh Out Loud,2025-07-31 11:39:20,-,-
Tim Young,Gen Z,99 : Raw Comedy,2025-07-30 02:52:29,16.7686,20.5930
Rob Edwards,Who I Look Like,99 : Raw Comedy,2025-07-30 22:17:49,16.7686,20.5930
Mohanad Elshieky,Fun Guy In The Back,98 : Pure Comedy,2025-07-30 03:31:43,16.7686,20.5930
Shawn Felipe,Relationships,99 : Raw Comedy,2025-07-31 02:32:22,16.7686,20.5930
Andrew Holmgren,Phobias,99 : Raw Comedy,2025-07-31 02:11:16,16.7686,20.5930
Josef Anolin,Alcoholics Anonymous,99 : Raw Comedy,2025-07-29 22:11:30,16.7686,20.5930
Tommy Brennan,Just Getting Started,98 : Pure Comedy,2025-07-30 14:04:48,16.7686,20.5930
Ashley Monique,Teen Moms,99 : Raw Comedy,2025-07-31 09:39:04,16.7686,20.5930
Milan Patel,Eating Better,99 : Raw Comedy,2025-07-31 02:19:41,16.7686,20.5930
Noah Copfer,Motorcycles,99 : Raw Comedy,2025-07-30 01:31:32,16.7686,20.5930
Joshua Turek,Role Playing,99 : Raw Comedy,2025-07-31 05:20:30,16.7686,20.5930
Hunaid Shakoor,Getting Sued,99 : Raw Comedy,2025-07-30 16:00:06,16.7686,20.5930
